Uganda,8.09
Netherlands,90
Hong Kong,53.2
Egypt,35
Montserrat,67.8
Saint Vincent and the Grenadines,95
Andorra,22
Antigua and Barbuda,80
Aruba,42.31
Panama,14
Pakistan,49.00
Gibraltar,10
Bahamas,87.13
Chile,9.53
Canada,86.21
Colombia,4.22
Bermuda,96.92
Nauru,96.67
France,39
Anguilla,92.31
Zambia,16.02
Australia,97
Finland,70
Vanuatu,83.55
Cook Islands,19.8
Liberia,82.67
Thailand,27.16
Myanmar,4.45
Ghana,66.67
Switzerland,61.28
Guam,91.09
Luxembourg,56
Suriname,87.09
Jamaica,97.64
Latvia,46
Kiribati,24.21
Cameroon,38
Greece,51
Jordan,45
British Virgin Islands,86.96
Austria,73
Belgium,60
Cyprus,73
United Kingdom,97.74
Portugal,27
Philippines,63.72
Mauritius,15.97
Nepal,35.8
Lesotho,27.86
Denmark,86
Croatia,49
Costa Rica,8.2
Mexico,11.6
Saint Lucia,43.03
Malawi,3.88
Papua New Guinea,49.76
Saint Kitts and Nevis,78
Yemen,9
Morocco,14
Israel,84.97
Cayman Islands,76.6
Germany,56
Sierra Leone,83.53
Turkey,17
Singapore,83.1
Grenada,90.91
Slovenia,59
Marshall Islands,98.33
United States,95.46
Samoa,49.86
India,12.18
Fiji,20.62
Madagascar,18
Zimbabwe,41.58
Malta,89
Brazil,5
Tanzania,9.89
Kenya,18.83
Botswana,38.42
Taiwan,28
South Africa,31
Trinidad and Tobago,87.74
American Samoa,80.1
Federated States of Micronesia,57.66
Estonia,50
Italy,34
Isle of Man,99.93
Namibia,17.24
Spain,22
Palau,92.5
Solomon Islands,31.68
Rwanda,15
Russia,5.48
Ireland,98.37
Brunei,39.07
Algeria,7
U.S. Virgin Islands,95.97
Romania,31
Tonga,30
Hungary,20
Bulgaria,25
China,6.43
Nigeria,56.72
Lebanon,40
Puerto Rico,48.61
Guyana,90.55
Lithuania,38
Czech Republic,27
Belize,81.65
Iraq,35
New Zealand,97.82
Eswatini,4.38
Barbados,98.57
Dominica,94.03
Seychelles,37.93
Argentina,6.52
Poland,37
Kazakhstan,15.4
Sweden,86
Slovakia,26
Bangladesh,18
The Gambia,2.34
Northern Mariana Islands,83.33
